Team,Team Score,Opponent,Opponent Score
ULL,88,Ark Little Rock,82
UMBC,105,New Hampshire,103
UNC Asheville,80,Radford,69
UT Arlington,83,Appalachian St,67
Utah,86,Oregon St,78
Utah St,78,Fresno St,65
UTEP,91,Marshall,68
Vanderbilt,84,Iowa St,78
Vermont,71,Stony Brook,64
W Carolina,68,Wofford,62
W Illinois,78,IUPUI,69
WKU,81,UT San Antonio,66
Wagner,66,St Francis NY,64
West Virginia,81,Texas A&M,77
William & Mary,96,UNC Wilmington,78
Wisconsin,61,Rutgers,54
Youngstown St,67,Cleveland St,64
Arizona,77,Washington,66
Binghamton,65,Maine,54
California,66,Stanford,55
Cincinnati,94,South Florida,53
Colgate,70,American Univ,65
Detroit,93,WI Green Bay,92
Illinois St,69,Evansville,59
Iona,69,St Peter's,66
Louisville,85,NC State,60
Michigan St,70,Michigan,62
Nebraska,83,Purdue,80
Northwestern,68,Indiana,55
Oakland,79,WI Milwaukee,70
Valparaiso,65,N Kentucky,58
Villanova,61,Virginia,59
Virginia Tech,85,Boston College,79
Washington St,91,Arizona St,83
Wichita St,64,Bradley,49
Wright St,88,IL Chicago,86
Xavier,82,St John's,77
Arkansas St,88,ULL,69
Belmont,92,Edwardsville,69
Boston Univ,76,Lehigh,59
Coastal Car,72,UT Arlington,70
Duke,84,Notre Dame,74
FL Gulf Coast,74,North Florida,59
Georgia St,83,South Alabama,80
Grambling,77,MS Valley St,74
Hampton,77,Coppin St,65
Jackson St,74,Ark Pine Bluff,59
Jacksonville,89,Stetson,86
Kennesaw,54,NJIT,53
Lipscomb,92,SC Upstate,80
Mercer,62,W Carolina,47
Monmouth NJ,83,Marist,71
Morgan St,77,Florida A&M,60
NC Central,82,Delaware St,74
Norfolk St,83,NC A&T,69
Oklahoma St,68,Oklahoma,66
Prairie View,72,Alabama St,52
Rider,72,Canisius,66
S Carolina St,77,Howard,68
Savannah St,87,MD E Shore,82
Siena,84,Quinnipiac,75
Texas St,68,Appalachian St,55
Troy,83,Ga Southern,76
TX Southern,92,Alabama A&M,47
ULM,68,Ark Little Rock,52
William & Mary,108,Drexel,85
Akron,76,N Illinois,73
Ball St,81,Toledo,80
Boise St,79,Colorado St,76
Bowling Green,83,Miami OH,72
Buffalo,101,C Michigan,91
Creighton,76,Butler,67
Davidson,75,St Joseph's PA,60
Dayton,75,Fordham,66
Denver,93,Oral Roberts,69
Fairfield,78,Manhattan,49
Georgetown,76,DePaul,73
Iowa,83,Rutgers,63
Kent,70,E Michigan,64
Kentucky,90,Georgia,81
Liberty,71,Presbyterian,51
Maryland,77,Ohio St,71
Mississippi,88,Mississippi St,61
Missouri St,82,Loyola-Chicago,81
North Carolina,80,Pittsburgh,78
Rhode Island,82,G Washington,70
San Diego St,77,Wyoming,68
Temple,79,Tulane,71
Tennessee,87,Auburn,77
Vanderbilt,68,Texas A&M,54
W Michigan,90,Ohio,85
Wake Forest,85,Boston College,80
West Virginia,85,Iowa St,72
Wisconsin,57,Illinois,43
Abilene Chr,70,New Orleans,69
Albany NY,90,MA Lowell,77
Arkansas,87,Alabama,68
Army,80,Lafayette,73
Austin Peay,83,E Kentucky,81
Bucknell,80,American Univ,60
Cincinnati,57,Tulsa,55
Clemson,74,Georgia Tech,62
CS Northridge,108,Long Beach St,98
Delaware St,82,NC A&T,65
Florida St,75,Miami FL,57
Fresno St,73,Air Force,64
Gardner Webb,80,Campbell,68
Hampton,66,MD E Shore,65
High Point,92,Longwood,68
Holy Cross,56,Colgate,50
Houston,82,UCF,64
Illinois St,57,Northern Iowa,51
Indiana,110,Penn St,102
Indiana St,85,Evansville,84
IUPUI,86,N Dakota St,81
Jacksonville St,74,SE Missouri St,62
Kansas,73,Baylor,68
La Salle,88,Massachusetts,78
Loyola MD,62,Lehigh,60
NE Omaha,91,South Dakota,83
New Mexico,80,UNLV,77
Purdue,80,Northwestern,59
S Dakota St,98,W Illinois,65
S Illinois,85,Bradley,65
SE Louisiana,72,Nicholls St,44
SMU,86,East Carolina,46
South Carolina,88,LSU,63
St Bonaventure,71,Duquesne,64
St John's,86,Marquette,72
St Louis,76,George Mason,74
Stetson,76,Bethune-Cookman,67
Stony Brook,64,New Hampshire,61
Syracuse,100,NC State,93
TAM C. Christi,90,Houston Bap,79
TCU,86,Kansas St,80
Texas,62,Texas Tech,58
TN Martin,75,Tennessee Tech,46
UCLA,95,Washington St,79
UMBC,92,Binghamton,74
UNC Asheville,91,Charleston So,73
USC,82,Washington,74
Utah St,74,Nevada,57
VA Commonwealth,81,Richmond,74
Vermont,74,Maine,53
Villanova,66,Providence,57
Virginia,71,Virginia Tech,48
Wichita St,77,Drake,69
Winthrop,81,Radford,65
Xavier,72,Seton Hall,70
Arizona,71,Oregon St,54
Belmont,81,Murray St,69
Cal Poly SLO,74,UC Davis,70
California,77,Utah,75
Cent Arkansas,107,Northwestern LA,97
Chattanooga,91,UNC Greensboro,68
Cleveland St,90,Detroit,73
Col Charleston,67,UNC Wilmington,66
Colorado,81,Stanford,74
CS Fullerton,79,Santa Barbara,53
E Illinois,77,Tennessee St,67
E Washington,77,CS Sacramento,72
Elon,67,James Madison,61
ETSU,81,VMI,71
Fairfield,81,Niagara,61
FL Atlantic,77,Charlotte,75
Florida,93,Missouri,54
Furman,70,Mercer,68
Gonzaga,85,BYU,75
Hawaii,72,UC Riverside,63
Hofstra,73,Delaware,65
Idaho,89,Portland St,72
Idaho St,91,Northern Arizona,90
Louisiana Tech,76,WKU,67
Loy Marymount,72,San Diego,53
McNeese St,87,Incarnate Word,79
Memphis,85,South Florida,75
Michigan St,72,Nebraska,61
Mt St Mary's,77,Bryant,70
MTSU,69,UT San Antonio,59
Navy,70,Boston Univ,61
Oakland,90,Youngstown St,76
Old Dominion,64,Florida Intl,57
Oregon,71,Arizona St,70
Robert Morris,67,Long Island,63
Sacred Heart,74,F Dickinson,70
Sam Houston St,72,SF Austin,63
Samford,82,W Carolina,63
San Francisco,77,Pepperdine,56
Santa Clara,60,Portland,45
Southern Miss,91,Marshall,76
St Francis PA,78,St Francis NY,61
St Mary's CA,74,Pacific,70
Towson,104,Drexel,103
UTEP,63,UAB,59
Valparaiso,71,WI Milwaukee,53
Wagner,70,Central Conn,60
Weber St,90,Southern Utah,74
WI Green Bay,84,IL Chicago,80
William & Mary,94,Northeastern,69
Wofford,100,Citadel,90
Brown,81,Cornell,70
Harvard,69,Penn,59
Iona,95,Rider,76
Monmouth NJ,71,St Peter's,70
Princeton,69,Dartmouth,64
Rhode Island,70,Davidson,59
Yale,87,Columbia,78
Abilene Chr,71,Sam Houston St,64
Alabama St,77,Ark Pine Bluff,65
Alcorn St,69,Jackson St,58
Arizona St,81,Oregon St,68
Arkansas St,79,Appalachian St,78
Auburn,82,Alabama,77
Boise St,72,Utah St,70
Bowling Green,104,Toledo,100
Bradley,79,Drake,72
Buffalo,96,Ball St,69
BYU,73,Portland,62
C Michigan,86,W Michigan,82
Canisius,80,Siena,73
Cent Arkansas,68,SE Louisiana,66
Central Conn,54,Mt St Mary's,52
Charleston So,71,Presbyterian,65
Charlotte,95,Florida Intl,80
Chattanooga,77,W Carolina,65
Cincinnati,82,Connecticut,68
Coastal Car,82,Ark Little Rock,75
Col Charleston,71,Elon,58
Colgate,55,Navy,52
Colorado St,69,UNLV,49
Columbia,83,Brown,78
CS Bakersfield,65,Grand Canyon,62
Dartmouth,74,Penn,71
Dayton,90,Duquesne,53
Delaware St,88,Bethune-Cookman,82
Denver,76,IPFW,73
Detroit,90,Youngstown St,80
Duke,72,Pittsburgh,64
E Washington,130,Portland St,124
East Carolina,74,Tulane,65
Evansville,74,Missouri St,66
FL Atlantic,65,Old Dominion,61
FL Gulf Coast,67,Jacksonville,57
Florida,88,Kentucky,66
Florida A&M,71,Howard,62
Fordham,86,St Joseph's PA,83
Furman,99,Citadel,91
Ga Southern,76,ULM,62
Gardner Webb,90,Longwood,64
George Mason,95,La Salle,75
Georgia St,85,ULL,82
Gonzaga,90,Santa Clara,55
Hampton,92,Savannah St,89
Hawaii,76,CS Northridge,72
Hofstra,79,Drexel,77
Houston Bap,84,Incarnate Word,70
Idaho,81,CS Sacramento,67
Idaho St,94,Southern Utah,68
IL Chicago,105,WI Milwaukee,100
Iowa St,92,Kansas,89
Jacksonville St,72,Edwardsville,61
James Madison,73,Northeastern,69
Kansas St,56,Baylor,54
Kennesaw,84,SC Upstate,79
Kent,66,Miami OH,62
Lamar,77,McNeese St,57
Lehigh,70,American Univ,55
Liberty,57,Radford,54
Lipscomb,87,NJIT,63
Long Beach St,72,UC Irvine,63
Louisiana Tech,94,Marshall,90
Louisville,90,Boston College,67
Loyola MD,78,Army,63
MA Lowell,60,Binghamton,59
Manhattan,68,Marist,67
Marquette,92,DePaul,79
MD E Shore,78,Coppin St,57
Miami FL,84,NC State,79
Minnesota,68,Illinois,59
Mississippi,81,Vanderbilt,74
Mississippi St,64,Tennessee,59
Missouri,83,Arkansas,78
Missouri KC,73,UTRGV,60
Montana,90,Montana St,84
Morehead St,89,SE Missouri St,81
MS Valley St,68,Alabama A&M,66
N Illinois,81,E Michigan,69
N Kentucky,83,Wright St,79
NC Central,68,Morgan St,62
NE Omaha,79,W Illinois,67
New Mexico St,86,Chicago St,51
New Orleans,78,Nicholls St,69
Norfolk St,65,S Carolina St,62
North Carolina,83,Notre Dame,76
North Dakota,87,N Colorado,77
North Florida,96,Stetson,64
Northern Iowa,65,Indiana St,60
Oakland,53,Cleveland St,51
Ohio,85,Akron,70
Ohio St,70,Michigan,66
Oklahoma St,82,West Virginia,75
Oregon,85,Arizona,58
Pepperdine,82,Pacific,72
Princeton,57,Harvard,56
Purdue,73,Maryland,72
Quinnipiac,89,Niagara,81
Rice,95,North Texas,80
Richmond,84,G Washington,75
Robert Morris,78,St Francis NY,54
Rutgers,70,Penn St,68
S Dakota St,74,Oral Roberts,67
S Illinois,67,Loyola-Chicago,61
Sacred Heart,73,Bryant,70
San Diego St,70,Fresno St,67
San Francisco,74,Loy Marymount,64
San Jose St,78,New Mexico,68
Seattle,63,Utah Valley,50
Seton Hall,68,Georgetown,66
SF Austin,75,Northwestern LA,73
SMU,76,Tulsa,53
South Alabama,76,Troy,71
South Carolina,77,Georgia,75
South Dakota,76,N Dakota St,66
Southern Univ,67,Grambling,66
St Francis PA,80,Long Island,78
St Louis,78,NC A&T,59
St Mary's CA,71,San Diego,27
Stanford,81,Utah,75
Stony Brook,72,Albany NY,65
Syracuse,66,Virginia,62
TCU,78,Texas,63
Tennessee St,70,Austin Peay,66
Tennessee Tech,87,E Illinois,68
Texas A&M,85,LSU,73
Texas Tech,77,Oklahoma,69
TN Martin,85,E Kentucky,68
Towson,82,William & Mary,80
TX Southern,74,Prairie View,61
UC Davis,67,Santa Barbara,64
UC Riverside,67,Cal Poly SLO,56
UCF,72,Memphis,57
UCLA,107,Washington,66
UMBC,83,Maine,71
UNC Asheville,74,High Point,71
UNC Greensboro,81,Samford,75
UNC Wilmington,108,Delaware,80
USC,86,Washington St,77
UT Arlington,76,Texas St,61
UT San Antonio,82,UAB,67
UTEP,57,MTSU,54
VA Commonwealth,83,St Bonaventure,77
Vermont,79,Hartford,66
Villanova,92,St John's,79
WKU,64,Southern Miss,47
Wagner,68,F Dickinson,59
Wake Forest,81,Georgia Tech,69
Weber St,86,Northern Arizona,80
WI Green Bay,86,Valparaiso,69
Wichita St,86,Illinois St,45
Winthrop,76,Campbell,62
Wofford,65,Mercer,62
Wyoming,83,Air Force,74
Xavier,82,Creighton,80
Yale,78,Cornell,71
Boston Univ,75,Lafayette,58
California,77,Colorado,66
Florida St,109,Clemson,61
Iowa,81,Nebraska,70
Temple,83,South Florida,74
Wisconsin,65,Indiana,60
Alabama St,71,MS Valley St,66
Albany NY,69,New Hampshire,55
Alcorn St,75,Grambling,65
Ark Little Rock,69,Appalachian St,62
Ark Pine Bluff,65,Alabama A&M,49
Arkansas St,67,Coastal Car,57
Bethune-Cookman,71,Howard,67
Bucknell,82,Holy Cross,68
Canisius,72,St Peter's,70
Delaware St,80,Florida A&M,77
Ga Southern,74,ULL,70
Georgia St,69,ULM,55
Hampton,93,S Carolina St,64
Kansas,74,Kansas St,71
Maine,52,Hartford,41
Monmouth NJ,74,Rider,69
NC Central,86,Coppin St,77
Norfolk St,92,Savannah St,87
Quinnipiac,73,Fairfield,71
Southern Univ,88,Jackson St,75
Stony Brook,83,MA Lowell,72
Vermont,71,Binghamton,51
Virginia,71,Louisville,55
Wofford,79,ETSU,76
Akron,65,Ball St,63
Alabama,90,South Carolina,86
Auburn,98,Mississippi St,92
Bowling Green,84,Kent,83
Buffalo,65,N Illinois,45
Butler,68,Marquette,65
C Michigan,97,Ohio,87
Colorado St,69,Utah St,52
Dayton,77,St Joseph's PA,70
Florida,72,Georgia,60
Illinois,68,Northwestern,61
Illinois St,82,Drake,53
Kentucky,92,LSU,85
Memphis,66,Tulsa,44
Michigan,86,Michigan St,57
Notre Dame,88,Wake Forest,81
Penn St,70,Maryland,64
Princeton,64,Penn,49
Rhode Island,70,Massachusetts,62
San Jose St,76,San Diego St,71
Siena,81,Iona,79
Syracuse,82,Clemson,81
TCU,62,Texas Tech,61
Texas,67,Iowa St,65
Toledo,73,E Michigan,57
Vanderbilt,72,Arkansas,59
Villanova,75,Georgetown,64
W Michigan,72,Miami OH,55
Arizona,74,Stanford,67
Baylor,72,Oklahoma St,69
Boston Univ,67,American Univ,64
California,68,Arizona St,43
Cincinnati,60,UCF,50
Colgate,70,Army,58
Connecticut,97,South Florida,51
Evansville,60,Loyola-Chicago,58
Florida St,95,NC State,71
George Mason,76,Davidson,69
Houston,91,Tulane,62
Indiana St,56,Bradley,54
IUPUI,89,NE Omaha,78
La Salle,67,Fordham,52
Lafayette,69,Holy Cross,59
Lehigh,79,Bucknell,71
Miami FL,74,Virginia Tech,68
Minnesota,101,Iowa,89
Morehead St,101,Murray St,100
N Dakota St,82,S Dakota St,65
Navy,62,Loyola MD,59
Nevada,104,UNLV,77
New Mexico,74,Air Force,67
Northern Iowa,49,S Illinois,41
Ohio St,70,Rutgers,64
Pittsburgh,83,Boston College,72
Seton Hall,72,Providence,70
South Dakota,93,IPFW,82
St Bonaventure,70,St Louis,55
TAM C. Christi,80,SE Louisiana,75
Tennessee,75,Mississippi,66
Texas A&M,76,Missouri,73
UC Davis,74,CS Fullerton,65
UC Irvine,64,Santa Barbara,47
VA Commonwealth,54,G Washington,53
W Illinois,63,Oral Roberts,60
West Virginia,61,Oklahoma,50
Wyoming,102,Fresno St,100
Xavier,72,DePaul,61
Albany NY,66,Binghamton,54
Belmont,66,Jacksonville St,53
Campbell,83,Longwood,79
Cent Arkansas,84,Abilene Chr,73
Colorado,81,Washington,66
CS Bakersfield,72,New Mexico St,53
CS Sacramento,77,Weber St,74
Delaware,76,Elon,74
Drexel,79,William & Mary,61
Duke,86,North Carolina,78
E Illinois,81,TN Martin,71
ETSU,90,Citadel,69
F Dickinson,79,Central Conn,62
Fairfield,73,Marist,53
Furman,60,Chattanooga,56
Gonzaga,90,Loy Marymount,60
Grand Canyon,76,UTRGV,57
Hartford,84,UMBC,77
Hawaii,74,Cal Poly SLO,65
High Point,68,Presbyterian,58
Houston Bap,86,Northwestern LA,69
Idaho,88,N Colorado,76
IL Chicago,84,Youngstown St,81
Kennesaw,92,Stetson,85
Lamar,80,Sam Houston St,76
Liberty,92,Gardner Webb,87
Lipscomb,65,FL Gulf Coast,60
Long Beach St,78,UC Riverside,71
Long Island,88,Bryant,85
Louisiana Tech,62,UTEP,61
MA Lowell,100,Maine,68
Mercer,81,VMI,51
Missouri KC,84,Utah Valley,76
Montana,70,Southern Utah,55
Mt St Mary's,74,Robert Morris,70
MTSU,64,Old Dominion,51
N Kentucky,69,WI Green Bay,67
New Orleans,69,McNeese St,63
North Dakota,95,E Washington,86
North Florida,91,NJIT,69
North Texas,70,FL Atlantic,64
Northeastern,73,Col Charleston,72
Northern Arizona,69,Montana St,63
Pacific,61,San Diego,58
Pepperdine,99,BYU,83
Portland St,74,Idaho St,69
Purdue,69,Indiana,64
Radford,79,Charleston So,67
Rice,89,Florida Intl,78
Sacred Heart,80,St Francis NY,65
San Francisco,61,Santa Clara,58
SC Upstate,70,Jacksonville,67
SE Missouri St,71,Edwardsville,67
Seattle,90,Chicago St,65
SF Austin,87,Incarnate Word,79
SMU,66,Temple,50
St Mary's CA,51,Portland,41
St Peter's,76,Quinnipiac,45
Tennessee St,72,Tennessee Tech,59
Towson,69,Hofstra,65
UAB,82,Charlotte,69
UCLA,82,Oregon,79
UNC Asheville,104,Winthrop,101
UNC Wilmington,88,James Madison,73
USC,92,Oregon St,66
UT San Antonio,57,Southern Miss,51
Utah,74,Washington St,70
Valparaiso,78,Cleveland St,57
Vermont,82,New Hampshire,74
Wagner,76,St Francis PA,74
Wichita St,80,Missouri St,62
Wisconsin,70,Nebraska,69
Wofford,131,Samford,127
Wright St,76,WI Milwaukee,65
Dayton,75,Rhode Island,74
Harvard,87,Brown,74
Monmouth NJ,62,Manhattan,58
Niagara,94,Canisius,81
Oakland,89,Detroit,80
Penn,70,Columbia,62
Princeton,69,Cornell,60
Yale,73,Dartmouth,64
Abilene Chr,76,Northwestern LA,72
Akron,87,E Michigan,76
Alabama St,97,Alabama A&M,89
Alcorn St,88,MS Valley St,77
American Univ,61,Army,58
Appalachian St,77,Georgia St,72
Arizona,62,California,57
Arizona St,75,Stanford,69
Ark Pine Bluff,68,Southern Univ,61
Arkansas,78,LSU,70
Baylor,70,TCU,52
Boise St,76,Air Force,66
Boston Univ,78,Loyola MD,63
Bryant,80,St Francis NY,69
Buffalo,88,Bowling Green,74
BYU,68,San Francisco,52
Campbell,70,Presbyterian,57
Cent Arkansas,106,Nicholls St,83
Chattanooga,73,Wofford,65
Cleveland St,66,IL Chicago,63
Coastal Car,82,Ga Southern,70
Colorado St,78,Fresno St,62
Connecticut,66,UCF,63
Coppin St,76,Bethune-Cookman,72
Creighton,93,DePaul,58
CS Bakersfield,75,UTRGV,53
CS Fullerton,74,Long Beach St,69
CS Northridge,77,Santa Barbara,55
CS Sacramento,75,Idaho St,63
Dartmouth,77,Brown,74
Delaware,58,James Madison,57
Delaware St,56,Morgan St,45
Duke,64,Clemson,62
E Illinois,86,SE Missouri St,80
E Washington,70,N Colorado,44
Elon,77,UNC Wilmington,76
ETSU,88,Mercer,71
Evansville,75,S Illinois,70
FL Gulf Coast,75,Kennesaw,63
Florida,71,Texas A&M,62
Florida A&M,83,NC A&T,77
Florida Intl,90,North Texas,71
Furman,90,Samford,73
G Washington,76,St Bonaventure,70
George Mason,73,Fordham,67
Georgetown,80,Marquette,62
Georgia,76,Tennessee,75
Georgia Tech,65,Boston College,54
Gonzaga,74,St Mary's CA,64
Grand Canyon,83,New Mexico St,71
Hampton,75,Howard,61
Harvard,75,Yale,67
Hofstra,74,Northeastern,64
Houston,73,Tulsa,64
Houston Bap,94,Lamar,87
Illinois St,64,Bradley,50
Indiana St,84,Drake,60
Iowa St,80,Oklahoma,64
IPFW,108,NE Omaha,101
Jackson St,78,Prairie View,69
Jacksonville,76,NJIT,73
Jacksonville St,63,Tennessee St,57
Kansas,80,Texas Tech,79
Kentucky,67,Alabama,58
Liberty,76,Charleston So,69
Lipscomb,97,Stetson,85
Long Island,75,F Dickinson,69
Louisiana Tech,72,UT San Antonio,66
Louisville,71,Miami FL,66
Loy Marymount,66,Portland,60
Marshall,84,WKU,79
Maryland,86,Ohio St,77
Massachusetts,87,St Joseph's PA,76
Miami OH,81,C Michigan,76
Michigan St,77,Iowa,66
Minnesota,72,Rutgers,63
Mississippi,90,Auburn,84
Missouri,72,Vanderbilt,52
Missouri KC,102,Seattle,72
Montana,76,Northern Arizona,59
Montana St,83,Southern Utah,78
Morehead St,67,E Kentucky,62
Mt St Mary's,81,St Francis PA,62
MTSU,70,Charlotte,55
Murray St,102,Austin Peay,58
N Dakota St,81,Denver,63
N Kentucky,69,WI Milwaukee,63
Navy,68,Lafayette,60
NC Central,85,S Carolina St,62
New Orleans,60,SE Louisiana,52
Norfolk St,75,MD E Shore,69
North Dakota,88,Idaho,65
Notre Dame,84,Florida St,72
Ohio,79,Ball St,77
Oklahoma St,84,Texas,71
Old Dominion,83,UAB,62
Oral Roberts,74,IUPUI,68
Oregon,81,USC,70
Penn St,83,Illinois,70
Pepperdine,65,San Diego,60
Pittsburgh,80,Syracuse,75
Princeton,61,Columbia,59
Providence,71,Butler,65
Radford,69,High Point,68
Rice,81,FL Atlantic,75
Richmond,64,La Salle,52
Rider,112,Quinnipiac,107
Robert Morris,50,Wagner,48
Sacred Heart,77,Central Conn,62
Sam Houston St,72,Incarnate Word,63
San Jose St,76,UNLV,74
Santa Clara,64,Pacific,47
SC Upstate,84,North Florida,71
Siena,84,Marist,77
South Alabama,66,ULM,63
South Carolina,77,Mississippi St,73
South Dakota,91,S Dakota St,89
South Florida,64,East Carolina,57
St John's,78,Seton Hall,70
St Louis,87,Duquesne,81
TAM C. Christi,73,McNeese St,66
Tennessee Tech,83,Belmont,70
Texas St,56,Ark Little Rock,49
TN Martin,80,Edwardsville,73
Toledo,78,Kent,58
Towson,69,Drexel,65
Troy,100,ULL,88
TX Southern,77,Grambling,70
UC Davis,77,UC Riverside,63
UC Irvine,72,Hawaii,58
UNC Asheville,91,Longwood,69
UNC Greensboro,76,W Carolina,68
UT Arlington,81,Arkansas St,75
Utah,85,Washington,61
Utah St,81,Wyoming,74
Utah Valley,87,Chicago St,54
UTEP,80,Southern Miss,50
VA Commonwealth,74,Davidson,60
Valparaiso,82,Youngstown St,72
Villanova,73,Xavier,57
VMI,101,Citadel,78
W Michigan,76,N Illinois,67
Wake Forest,88,NC State,58
Weber St,96,Portland St,93
West Virginia,85,Kansas St,66
William & Mary,89,Col Charleston,79
Winthrop,77,Gardner Webb,71
Wright St,88,WI Green Bay,79
Colorado,81,Washington St,49
Hartford,87,MA Lowell,84
Holy Cross,61,Lehigh,45
Iona,90,Niagara,76
Michigan,75,Indiana,63
New Hampshire,63,Binghamton,55
Northern Iowa,55,Missouri St,52
Northwestern,66,Wisconsin,59
Penn,82,Cornell,63
San Diego St,70,Nevada,56
SMU,60,Cincinnati,51
St Peter's,69,Manhattan,50
Stony Brook,67,Maine,66
Temple,74,Memphis,62
UCLA,78,Oregon St,60
Vermont,77,UMBC,74
Virginia Tech,80,Virginia,78
Wichita St,81,Loyola-Chicago,64
Alcorn St,70,Ark Pine Bluff,58
Appalachian St,83,Ga Southern,78
Bucknell,75,Colgate,58
Coastal Car,65,Georgia St,64
Coppin St,83,Delaware St,75
Fairfield,69,Rider,67
Furman,80,VMI,52
Grambling,61,Prairie View,58
Howard,70,Morgan St,67
Jackson St,71,TX Southern,62
Kansas,84,West Virginia,80
Louisville,76,Syracuse,72
MD E Shore,82,Bethune-Cookman,81
Monmouth NJ,102,Siena,82
NC Central,78,Florida A&M,73
S Carolina St,72,NC A&T,65
Southern Univ,81,MS Valley St,72
Texas St,62,Arkansas St,58
Texas Tech,84,Baylor,78
Troy,73,ULM,72
ULL,87,South Alabama,61
UT Arlington,71,Ark Little Rock,55
Villanova,75,DePaul,62
Akron,71,Toledo,65
Ball St,81,N Illinois,72
Buffalo,99,C Michigan,93
Canisius,89,Iona,83
Clemson,95,Wake Forest,83
Colorado St,78,Wyoming,73
Dayton,85,St Louis,63
Denver,78,W Illinois,72
Evansville,87,Drake,70
Florida,114,Auburn,95
George Mason,93,Richmond,70
Georgia,79,Mississippi St,72
Kent,76,Miami OH,72
Kentucky,83,Tennessee,58
Liberty,55,High Point,52
Michigan St,74,Ohio St,66
Mississippi,96,LSU,76
Nebraska,82,Penn St,66
New Mexico,78,Boise St,73
Notre Dame,84,Boston College,76
Ohio,79,E Michigan,71
Oklahoma,70,Texas,66
Purdue,74,Rutgers,55
St Peter's,71,Marist,46
UCF,71,Tulsa,53
VA Commonwealth,91,St Joseph's PA,81
Virginia Tech,66,Pittsburgh,63
W Michigan,89,Bowling Green,79
Alabama,57,Missouri,54
Albany NY,78,UMBC,69
Arkansas,83,South Carolina,76
Army,52,Holy Cross,47
Boston Univ,69,Colgate,68
Butler,110,St John's,86
Cal Poly SLO,85,CS Northridge,71
Charleston So,72,Campbell,69
Chattanooga,74,VMI,68
Cincinnati,68,South Florida,54
Davidson,74,G Washington,63
Duke,65,Virginia,55
Duquesne,96,Massachusetts,66
East Carolina,78,Temple,64
ETSU,79,Samford,77
Fordham,53,Rhode Island,43
Fresno St,77,San Jose St,59
Furman,74,W Carolina,62
Gardner Webb,70,Radford,59
Illinois St,67,Missouri St,66
Iowa St,87,Kansas St,79
IPFW,77,N Dakota St,61
Lafayette,78,American Univ,65
Lehigh,74,Navy,55
Loyola MD,78,Bucknell,77
Loyola-Chicago,64,Indiana St,46
Maryland,74,Northwestern,64
Miami FL,70,Georgia Tech,61
Minnesota,75,Indiana,74
Nevada,78,Air Force,59
New Hampshire,64,Maine,51
Norfolk St,81,S Carolina St,70
North Carolina,97,NC State,73
Northern Iowa,64,Bradley,61
Oklahoma St,71,TCU,68
Providence,75,Xavier,63
S Dakota St,81,IUPUI,67
San Diego St,66,Utah St,62
Seton Hall,87,Creighton,81
SMU,80,Tulane,75
St Bonaventure,83,La Salle,65
Stony Brook,66,Hartford,54
TAM C. Christi,97,Incarnate Word,81
UNC Asheville,89,Presbyterian,48
UNC Greensboro,74,Wofford,55
Vermont,87,MA Lowell,66
Wichita St,87,S Illinois,68
Winthrop,83,Longwood,63
Abilene Chr,82,McNeese St,78
Arizona,78,Washington St,59
Arizona St,83,Washington,81
Austin Peay,85,E Illinois,80
Belmont,76,E Kentucky,72
Bryant,81,Robert Morris,73
BYU,82,San Diego,70
Col Charleston,76,Hofstra,72
Colorado,60,Oregon St,52
Connecticut,65,Memphis,62
CS Bakersfield,80,Utah Valley,71
CS Fullerton,56,UC Riverside,55
CS Sacramento,67,Montana,65
Delaware,68,Drexel,67
FL Gulf Coast,80,NJIT,73
Gonzaga,96,San Francisco,61
Grand Canyon,61,Seattle,58
Houston Bap,88,Sam Houston St,77
Jacksonville,79,Kennesaw,78
James Madison,95,William & Mary,92
Long Beach St,78,UC Davis,69
Long Island,82,St Francis NY,45
Louisiana Tech,95,FL Atlantic,69
Marshall,74,UAB,59
Michigan,64,Wisconsin,58
Monmouth NJ,93,Niagara,75
Montana St,92,Portland St,90
MTSU,78,WKU,52
Murray St,84,Edwardsville,73
N Kentucky,62,Cleveland St,60
NE Omaha,83,Oral Roberts,76
Nicholls St,96,Cent Arkansas,89
North Dakota,77,Idaho St,61
North Florida,93,Lipscomb,82
Oregon,79,Utah,61
Pacific,76,Portland,65
Rice,80,UT San Antonio,68
Sacred Heart,91,F Dickinson,81
Santa Barbara,56,Hawaii,54
Santa Clara,106,Pepperdine,55
SE Louisiana,73,Northwestern LA,66
SF Austin,70,Lamar,61
Siena,94,Manhattan,71
Southern Miss,69,Florida Intl,66
St Francis PA,80,Central Conn,71
St Mary's CA,81,Loy Marymount,48
Stetson,83,SC Upstate,72
Tennessee St,64,Morehead St,52
Towson,85,Elon,66
UNC Wilmington,66,Northeastern,65
UTEP,77,North Texas,71
Vanderbilt,72,Texas A&M,67
Wagner,69,Mt St Mary's,65
Weber St,69,N Colorado,63
Wright St,84,Youngstown St,81
Canisius,85,Rider,77
Cornell,69,Dartmouth,65
E Washington,77,Idaho,67
Fairfield,89,Quinnipiac,86
Harvard,78,Columbia,72
IL Chicago,74,Detroit,69
Iona,95,Marist,88
Oakland,82,Valparaiso,71
Penn,96,Brown,72
Princeton,71,Yale,52
Stanford,73,California,68
VA Commonwealth,84,Richmond,73
Alabama,90,LSU,72
Alcorn St,75,Alabama St,67
Arizona,76,Washington,68
Arkansas,98,Mississippi,80
